,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url 
2971,大奥永遠［右衛門佐・綱吉篇］,2012年,124分,日本,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.0,509,9.8,21.4,38.3,20.2,10.2,2.94117,4.02688,2.84324,3.56756,3.43243,https://movies.yahoo.co.jp/movie/342814
2972,ダウントン・アビー,2019年,122分,イギリス,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.1,509,42.2,35.0,16.5,2.8,3.5,4.30337,4.55056,4.26966,4.53932,4.28089,https://movies.yahoo.co.jp/movie/370011
2973,影裏,2020年,134分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.9,508,14.4,17.5,28.2,23.8,16.1,2.59793,3.83673,2.87755,3.5,2.80412,https://movies.yahoo.co.jp/movie/369645
2974,サイレントヒル：リベレーション3D,2012年,95分,"フランス,アメリカ,カナダ",ホラー,アクション,ジャンル記載なし,ジャンル記載なし,2.67,508,6.7,14.8,33.1,29.3,16.1,2.41826,3.12019,2.92307,3.5,3.2548,https://movies.yahoo.co.jp/movie/345356
2975,アデル／ファラオと復活の秘薬,2010年,107分,フランス,アドベンチャー,アクション,ジャンル記載なし,ジャンル記載なし,2.85,508,8.1,20.9,32.3,25.2,13.6,2.55775,3.38741,2.91721,3.10264,2.96333,https://movies.yahoo.co.jp/movie/336194
2976,マスク・オブ・ゾロ,1998年,137分,アメリカ,アクション,アドベンチャー,ロマンス,ジャンル記載なし,3.78,508,20.9,42.1,31.7,4.7,0.6,3.89552,4.45454,4.1791,4.1194,3.96969,https://movies.yahoo.co.jp/movie/84339
2977,ザ・インタープリター,2005年,118分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.56,508,22.2,29.1,33.9,11.8,3.0,3.39655,3.98275,3.34782,3.37931,3.13274,https://movies.yahoo.co.jp/movie/322107
2978,先輩と彼女,2015年,103分,日本,青春,ロマンス,ジャンル記載なし,ジャンル記載なし,3.08,507,27.2,16.8,15.0,18.7,22.3,2.56666,3.0,2.36666,2.73333,2.63333,https://movies.yahoo.co.jp/movie/353194
2979,みなさん、さようなら,2012年,120分,日本,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,3.59,507,18.3,38.9,29.8,9.5,3.6,3.60952,4.15238,3.58095,3.53333,3.5619,https://movies.yahoo.co.jp/movie/342769
2980,ザ・アウトロー,2018年,上映時間記載なし,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.34,507,11.8,32.0,39.6,11.2,5.3,3.11842,3.46052,3.25,3.43421,2.94736,https://movies.yahoo.co.jp/movie/365443
2981,500ページの夢の束,2017年,93分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.69,507,17.2,45.0,30.0,5.3,2.6,3.84848,4.34848,3.96969,3.72727,3.66666,https://movies.yahoo.co.jp/movie/364496
2982,俺たちは天使じゃない,1989年,107分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.73,507,20.9,41.2,29.4,7.1,1.4,4.0923,4.56923,4.06153,3.8923,3.41538,https://movies.yahoo.co.jp/movie/3911
2983,ぼくらの七日間戦争,1988年,94分,日本,ドラマ,青春,アクション,ジャンル記載なし,3.34,506,18.0,29.3,29.5,15.8,7.5,3.29347,3.78021,3.12087,3.17582,3.53846,https://movies.yahoo.co.jp/movie/87880
2984,王の男,2006年,122分,韓国,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.4,506,34.8,23.1,12.5,6.1,23.5,3.12737,3.47967,3.11141,3.28726,3.04359,https://movies.yahoo.co.jp/movie/325650
2985,映画クレヨンしんちゃん　バカうまっ！B級グルメサバイバル！！,2013年,96分,日本,コメディ,アドベンチャー,ファミリー,アニメ,3.9,506,42.5,24.3,19.6,7.7,5.9,4.13725,4.27941,4.19607,4.28431,4.20398,https://movies.yahoo.co.jp/movie/344380
2986,マザーウォーター,2010年,105分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.89,506,11.3,21.2,28.5,23.5,15.6,2.56682,3.85648,2.94444,3.48611,3.16666,https://movies.yahoo.co.jp/movie/336698
2987,ふきげんな過去,2015年,120分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,2.87,506,13.0,17.2,31.6,20.2,18.0,2.76712,3.83783,2.9863,3.09459,2.77027,https://movies.yahoo.co.jp/movie/355086
2988,ドランク・モンキー／酔拳,1978年,103分,香港,アクション,コメディ,ジャンル記載なし,ジャンル記載なし,4.0,506,34.6,37.2,22.5,5.1,0.6,3.82926,4.56097,4.26829,3.82926,3.8875,https://movies.yahoo.co.jp/movie/16231
2989,花のあと,2009年,107分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.59,506,24.7,33.4,25.7,8.7,7.5,3.90123,3.79752,3.52521,3.87136,3.48132,https://movies.yahoo.co.jp/movie/335366
2990,トラッシュ！ この街が輝く日まで,2014年,114分,"イギリス,ブラジル",サスペンス,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.92,506,29.6,41.5,22.3,4.6,2.0,4.10416,4.25,4.09375,4.19791,3.85106,https://movies.yahoo.co.jp/movie/350542
2991,そらのレストラン,2018年,126分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.3,505,15.6,29.3,33.7,12.7,8.7,2.92207,3.85714,2.88311,3.98701,3.16883,https://movies.yahoo.co.jp/movie/364568
2992,ダレン・シャン,2009年,109分,アメリカ,ファンタジー,アドベンチャー,青春,ジャンル記載なし,2.64,505,9.1,13.3,29.5,28.3,19.8,2.46606,2.78538,2.5799,2.87671,2.69724,https://movies.yahoo.co.jp/movie/335596
2993,武曲　MUKOKU,2017年,125分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.54,505,30.7,22.6,25.4,12.7,8.7,2.98076,4.09615,3.30769,3.5,3.1923,https://movies.yahoo.co.jp/movie/359316
2994,ザ・ファン,1996年,117分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.27,505,9.7,26.7,47.9,12.3,3.4,3.59322,4.27118,3.62711,3.55932,3.44067,https://movies.yahoo.co.jp/movie/51442
2995,ボーイ・ソプラノ　ただひとつの歌声,2014年,103分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.84,505,25.9,41.8,24.4,6.1,1.8,3.44444,4.19444,3.65277,3.66666,4.38888,https://movies.yahoo.co.jp/movie/353142
2996,レジェンド・オブ・ゾロ,2005年,126分,アメリカ,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.41,505,13.1,31.7,40.8,12.3,2.2,3.49295,4.17021,3.79577,3.85211,3.75352,https://movies.yahoo.co.jp/movie/323097
2997,ガールズ＆パンツァー 最終章　第2話,2019年,56分,日本,ドラマ,アニメ,ジャンル記載なし,ジャンル記載なし,4.33,505,62.4,22.4,6.7,2.6,5.9,4.11224,4.43298,4.45918,4.65979,4.41237,https://movies.yahoo.co.jp/movie/365045
2998,ポーラー・エクスプレス,2004年,100分,アメリカ,ファンタジー,アニメ,ジャンル記載なし,ジャンル記載なし,3.64,504,28.4,27.6,28.2,11.3,4.6,3.90163,3.7459,3.92561,4.25409,3.9836,https://movies.yahoo.co.jp/movie/319681
2999,37セカンズ,2019年,115分,"日本,アメリカ",ドラマ,青春,ジャンル記載なし,ジャンル記載なし,4.27,504,49.2,35.5,10.5,2.4,2.4,4.26804,4.73469,4.32989,4.19587,3.83505,https://movies.yahoo.co.jp/movie/368072
3000,ザ・レイド,2011年,102分,インドネシア,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.9,504,27.0,44.1,22.8,4.8,1.4,2.94285,3.73571,4.07913,4.07142,3.43165,https://movies.yahoo.co.jp/movie/343285
3001,ベストセラー　編集者パーキンズに捧ぐ,2015年,104分,イギリス,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.62,504,20.0,36.3,32.5,7.9,3.2,3.41818,4.2,3.43636,3.61818,3.32727,https://movies.yahoo.co.jp/movie/357156
3002,カンフー・パンダ2,2011年,90分,アメリカ,コメディ,アドベンチャー,アクション,アニメ,3.75,504,29.0,35.1,24.0,6.0,6.0,3.95294,4.2,4.18823,4.50588,3.97041,https://movies.yahoo.co.jp/movie/339143
3003,隠し砦の三悪人,1958年,139分,日本,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,4.13,504,43.9,32.7,18.1,3.8,1.6,4.34285,4.52142,4.44285,4.43165,4.10791,https://movies.yahoo.co.jp/movie/87902
3004,ペット・セメタリー,1989年,103分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.51,504,15.1,37.9,32.5,11.9,2.6,3.6923,3.64835,3.71428,3.42857,3.1573,https://movies.yahoo.co.jp/movie/20933
3005,ポリス・ストーリー／REBORN,2017年,109分,中国,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,2.96,503,13.3,18.7,33.0,20.5,14.5,2.34831,3.10112,2.5955,2.78651,2.78651,https://movies.yahoo.co.jp/movie/364994
3006,ひまわりと子犬の7日間,2013年,117分,日本,ドラマ,ファミリー,ジャンル記載なし,ジャンル記載なし,3.75,503,29.8,30.0,28.8,7.8,3.6,3.97765,4.3296,3.77528,3.8305,3.62285,https://movies.yahoo.co.jp/movie/343456
3007,ソウ6,2009年,95分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.28,502,11.4,27.1,44.2,13.0,4.4,3.47979,3.43877,3.54358,3.66326,3.56345,https://movies.yahoo.co.jp/movie/334880
3008,スウィート17モンスター,2016年,104分,アメリカ,青春,コメディ,ジャンル記載なし,ジャンル記載なし,3.9,502,28.5,43.0,21.3,4.2,3.0,3.85507,4.31884,3.95652,3.54411,3.68656,https://movies.yahoo.co.jp/movie/359558
3009,映画『映像研には手を出すな！』,2020年,114分,日本,コメディ,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.57,501,28.3,29.5,24.0,7.4,10.8,3.3252,3.95161,3.44715,3.79674,3.55284,https://movies.yahoo.co.jp/movie/370127
3010,レモニー・スニケットの世にも不幸せな物語,2004年,109分,アメリカ,コメディ,ファンタジー,ジャンル記載なし,ジャンル記載なし,3.25,501,13.4,26.4,38.3,16.0,6.0,3.24822,4.05,3.42142,3.97142,3.43884,https://movies.yahoo.co.jp/movie/321624
3011,四月物語,1998年,67分,日本,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.63,501,23.2,33.7,30.7,7.8,4.6,3.5,4.2159,4.05681,4.27272,3.70454,https://movies.yahoo.co.jp/movie/153488
3012,TAXi(4),2007年,91分,フランス,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.62,501,5.6,16.2,33.1,24.8,20.4,2.42857,3.24793,2.71487,2.79338,3.0,https://movies.yahoo.co.jp/movie/327923
3013,女と男の観覧車,2017年,101分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.44,501,16.8,32.7,33.5,11.6,5.4,3.54545,4.31168,3.97402,4.11688,3.70129,https://movies.yahoo.co.jp/movie/363579
3014,シン・レッド・ライン,1998年,171分,アメリカ,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,3.32,500,17.8,22.6,40.0,13.4,6.2,3.09195,3.93103,3.51724,4.03448,3.64367,https://movies.yahoo.co.jp/movie/84818
3015,あずみ,2003年,142分,日本,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.13,500,14.2,22.6,36.8,15.2,11.2,3.32061,3.62595,3.41538,3.46923,3.08461,https://movies.yahoo.co.jp/movie/239566
3016,17歳の肖像,2009年,100分,イギリス,ドラマ,ロマンス,青春,ジャンル記載なし,3.59,500,18.4,35.2,34.6,10.2,1.6,3.58709,4.2129,3.76129,3.86184,3.64935,https://movies.yahoo.co.jp/movie/335600
3017,メランコリア,2011年,135分,"デンマーク,スウェーデン,フランス,ドイツ",ドラマ,SF,ジャンル記載なし,ジャンル記載なし,3.25,500,18.2,28.4,25.4,16.2,11.8,2.93491,3.76331,3.22485,3.95857,3.6568,https://movies.yahoo.co.jp/movie/340955
3018,劇場版 マクロスF　サヨナラノツバサ,2011年,115分,日本,SF,アクション,アニメ,ジャンル記載なし,4.33,500,61.8,20.2,10.8,3.8,3.4,4.17492,4.58875,4.43823,4.68529,4.81952,https://movies.yahoo.co.jp/movie/337955
3019,蒼き狼　地果て海尽きるまで,2007年,136分,"日本,モンゴル",ドラマ,アドベンチャー,ジャンル記載なし,ジャンル記載なし,2.51,499,9.0,13.6,24.9,24.7,27.9,2.51094,2.61274,2.42053,3.24154,2.89537,https://movies.yahoo.co.jp/movie/325608
3020,20センチュリー・ウーマン,2016年,119分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.46,498,17.1,31.7,35.5,11.5,4.2,3.36923,4.16923,3.6,3.61538,3.67692,https://movies.yahoo.co.jp/movie/359589
3021,大停電の夜に,2005年,132分,日本,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.56,498,22.5,33.1,27.1,12.3,5.0,3.58636,4.06818,3.61363,4.13636,3.72272,https://movies.yahoo.co.jp/movie/322717
3022,街の灯,1931年,86分,アメリカ,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,4.49,498,65.1,21.9,10.2,2.4,0.4,4.63194,4.68531,4.73426,4.3916,4.48591,https://movies.yahoo.co.jp/movie/22155
3023,スケアクロウ,1973年,113分,アメリカ,青春,ドラマ,ジャンル記載なし,ジャンル記載なし,3.82,497,28.4,36.8,25.4,7.9,1.6,4.12941,4.65882,4.02352,3.89411,3.58823,https://movies.yahoo.co.jp/movie/11800
3024,高校デビュー,2010年,93分,日本,コメディ,ロマンス,青春,ジャンル記載なし,3.02,497,24.8,15.3,19.7,18.1,22.1,2.88617,3.01626,2.77868,2.95934,3.11382,https://movies.yahoo.co.jp/movie/338393
3025,トゥルー・クライム,1999年,127分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.5,497,14.1,35.4,39.6,7.9,3.0,3.64102,3.6923,3.61538,3.34615,3.26923,https://movies.yahoo.co.jp/movie/159317
3026,フレンチ・ラン,2015年,92分,"フランス,アメリカ",アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.51,497,10.1,41.5,40.4,5.6,2.4,3.44067,3.71186,3.61016,3.40677,3.10169,https://movies.yahoo.co.jp/movie/359150
3027,TAXi ダイヤモンド・ミッション,2018年,103分,フランス,アクション,コメディ,ジャンル記載なし,ジャンル記載なし,2.67,497,10.9,14.5,27.6,24.8,22.3,2.12941,2.48235,2.2738,2.83529,2.75294,https://movies.yahoo.co.jp/movie/365271
3028,危険な情事,1987年,120分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.75,496,21.6,41.5,29.6,5.0,2.2,4.01408,4.38028,4.15492,3.74647,3.58571,https://movies.yahoo.co.jp/movie/5217
3029,告発の行方,1988年,110分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.63,496,13.3,44.2,36.7,4.2,1.6,3.8961,4.46052,3.96,3.66216,3.34722,https://movies.yahoo.co.jp/movie/7792
3030,ファニーゲーム U.S.A.,2007年,111分,アメリカ,サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,3.07,496,18.8,20.4,28.2,14.7,17.9,2.92561,3.639,3.45,3.21161,2.9751,https://movies.yahoo.co.jp/movie/330227
3031,象の背中,2007年,124分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.84,496,17.3,16.7,23.4,17.7,24.8,2.68324,3.62992,2.77894,3.07651,3.22427,https://movies.yahoo.co.jp/movie/328171
3032,夏の終り,2012年,114分,日本,ロマンス,ドラマ,ジャンル記載なし,ジャンル記載なし,2.74,496,7.1,16.7,32.9,29.8,13.5,2.64885,3.66165,2.9624,3.66666,3.08208,https://movies.yahoo.co.jp/movie/344303
3033,タンポポ,1985年,115分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.82,496,27.8,38.7,24.2,6.5,2.8,4.10204,4.45918,4.29591,3.92857,3.68367,https://movies.yahoo.co.jp/movie/149608
3034,呪怨 ザ・ファイナル,2015年,89分,日本,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.27,496,11.3,8.3,17.9,21.0,41.5,1.56122,2.18367,1.71428,1.98979,1.96907,https://movies.yahoo.co.jp/movie/352025
3035,ディファイアンス,2008年,136分,アメリカ,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,3.86,496,27.6,40.1,25.4,4.8,2.0,4.09604,4.21839,3.93063,4.02298,3.68023,https://movies.yahoo.co.jp/movie/332706
3036,ロックアウト,2012年,95分,フランス,SF,アクション,サスペンス,ジャンル記載なし,2.8,496,4.0,16.5,44.2,26.2,9.1,2.59541,3.25954,2.77099,3.0458,2.70992,https://movies.yahoo.co.jp/movie/343417
3037,ボクは坊さん。,2015年,99分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.46,495,22.4,29.3,29.3,10.1,8.9,3.37606,3.80869,3.26724,3.60869,3.4,https://movies.yahoo.co.jp/movie/353405
3038,ラビリンス／魔王の迷宮,1986年,102分,アメリカ,SF,ファンタジー,ジャンル記載なし,ジャンル記載なし,3.61,495,26.9,26.9,30.5,12.1,3.6,3.8387,4.46774,4.1129,4.12903,4.17741,https://movies.yahoo.co.jp/movie/24661
3039,カジノ,1995年,179分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.89,495,28.9,40.8,23.0,5.1,2.2,4.14432,4.69072,4.30927,4.13402,3.98969,https://movies.yahoo.co.jp/movie/28625
3040,インモータルズ　神々の戦い,2011年,111分,アメリカ,アクション,アドベンチャー,ファンタジー,ジャンル記載なし,3.03,495,10.9,19.8,37.8,24.2,7.3,2.40259,3.39826,2.9826,3.80086,3.08658,https://movies.yahoo.co.jp/movie/340162
3041,ブルース・オールマイティ,2003年,101分,アメリカ,コメディ,ファンタジー,ロマンス,ジャンル記載なし,3.76,494,24.9,34.6,33.0,6.3,1.2,3.93333,4.41176,3.89915,3.73109,3.60504,https://movies.yahoo.co.jp/movie/318496
3042,あのコの、トリコ。,2018年,99分,日本,ロマンス,青春,ジャンル記載なし,ジャンル記載なし,3.07,493,23.3,18.3,23.1,12.6,22.7,2.37254,3.53846,2.64705,3.07843,3.0196,https://movies.yahoo.co.jp/movie/364053
3043,グリーン・デスティニー,2000年,120分,"アメリカ,中国",アクション,ドラマ,ロマンス,ジャンル記載なし,3.21,493,13.4,24.3,38.7,17.0,6.5,2.88297,3.84042,3.35483,3.96774,3.68817,https://movies.yahoo.co.jp/movie/162168
